ID,Item,Definition
1,Is there a citizen-initiated agenda proposal at the national level?,An instrument that allows a certain number of citizens to put an issue on the agenda of state organs but that does not lead to a referendum (i.e. a popular vote). An agenda initiave mandates the state organ to deal with the proposal: at least debate it or make a decision about it. General petition rights should not be included here unless the state organs have an obligation to react to the petition.
2,Is there an explicit legal basis for this type of instrument?,"Whether there is a clear legislative basis for the instrument or it has only evolved in the practice (judicial pratice, etc.). "
3,What is the total number of signatures required?,The number of voters that have to support the agenda initiative in order for it to be put on the agenda of the legislature
4,Is there a territorial threshold for signature gathering?,"Whether the required number of signatures is also linked to a certain number of territorial units, meaning that the cititzens supporting the initiative must represent a number of territorial units"
5,What is the time limit for collecting the required number of signatures? (in days),Number of days allowed for completing the signature collection
6,Are there any restrictions on where the signatures can be collected?,Are there for example designated venues for the collection of signatures? Is the collection prohibited at certain places? Is the collection restricted to state offices?
7,Do signatories have to provide identification documents in addition to personal information when signing the initative?,Whether the voters have to provide identification numbers or passports or something similar.
8,Is it possible to gather signatures electronically?,"Whether signatures can be collected online, including all types of electronic signatures"
9,Are the signatures systematically verified?,Whether the authority counting the signatures check each signature and personal information or only a random check is carried out
10,Who checks the signatures?,The authority entrusted with counting and verifying the signatures
11,Is there a legal remedy against invalidation of signatures?,"A remedy specifically for cases when the authority invalidates signatures, or refuses to forward the proposal based on the number of signatures"
12,Is there a formal admissibility check?,"Whether there is a decision on formally admitting or registering the initiative/referendum question. Such a formal admission decision could entail checking the adherence to the procedural rules of initiating the referendum (e.g. initiative group formed,  etc.), or also checking formal limits such as clarity of question, unity of form"
13,Who decides about the formal admissibility?,Which state institution registers the initiative?
14,Is there a legal remedy against the decision on formal admissibility?,"Appeal to a higher administrative, judicial or other state organ against the decision on admissibility/registration"
15,Who decides about the claim for remedy in the formal admissibility procedure?,Which state institution carries out the appeal procedure
16,Who can initiate the remedy procedure? (state actor - initiator - anyone),"Who has the right to appeal against the formal admissibility decision (e.g. only the initiators, any citizens, certain state actors etc.)"
17,Does the formal admissibility procedure take place before the signature collection?,"Is the initiative registered before or after the initiators collected the signatures required. (If a small number of signatures is need before the registration, but most signatures are collected after the registration, then the question should be coded as ""before"")"
18,Is formal admissibility decided in a special procedure?,"Whether the procedure for registration/admission has special rules such as shortened deadlines, restricted participation rights etc. that otherwise do not characterise the decision-making of the state organ concerned? Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure."
