ID,Item,Definition
1,Is there a rejective citizens’ initiative at the national level?,An instrument that allows a certain number of citizens to initiate a referendum (i.e. a popular vote) that is aimed at preventing a constitutional amendment or a legislative act from being passed or at abolishing it
2,Is there an explicit legal basis for this type of referendum?,"Whether there is a clear legislative basis for the instrument or it has only evolved in the practice (judicial pratice, etc.). In case of rejective citizens' initiatives, this would include a practice when the rules of a proactive initiative can be used to abrogate laws (e.g. formulating a proactive initiative about the annulment of an act)."
3,What is the total number of signatures required?,The number of voters that have to support the referendum initiative in order for a vote to take place
4,Is there a territorial threshold for signature gathering?,"Whether the required number of signatures is also linked to a certain number of territorial units, meaning that the cititzens supporting the initiative must represent a number of territorial units"
5,What is the time limit for collecting the required number of signatures? (in days),Number of days allowed for completing the signature collection
6,Are there any restrictions on where the signatures can be collected?,Are there for example designated venues for the collection of signatures? Is the collection prohibited at certain places? Is the collection restricted to state offices?
7,Do signatories have to provide identification documents in addition to personal information when signing the initative?,Whether the voters have to provide identification numbers or passports or something similar.
8,Is it possible to gather signatures electronically?,"Whether signatures can be collected online, including all types of electronic signatures"
9,Are the signatures systematically verified?,Whether the authority counting the signatures check each signature and personal information or only a random check is carried out
10,Who checks the signatures?,The authority entrusted with counting and verifying the signatures
11,Is there a legal remedy against invalidation of signatures?,"A remedy specifically for cases when the authority invalidates signatures, or refuses to forward the proposal based on the number of signatures"
12,Is there a formal admissibility check?,"Whether there is a decision on formally admitting or registering the initiative/referendum question. Such a formal admission decision could entail checking the adherence to the procedural rules of initiating the referendum (e.g. initiative group formed,  etc.), or also checking formal limits such as clarity of question, unity of form"
13,Who decides about the formal admissibility?,Which state institution registers the initiative?
14,Is there a legal remedy against the decision on formal admissibility?,"Appeal to a higher administrative, judicial or other state organ against the decision on admissibility/registration"
15,Who decides about the claim for remedy in the formal admissibility procedure?,Which state institution carries out the appeal procedure
16,Who can initiate the remedy procedure? (state actor - initiator - anyone),"Who has the right to appeal against the formal admissibility decision (e.g. only the initiators, any citizens, certain state actors etc.)"
17,Does the formal admissibility procedure take place before the signature collection?,"Is the initiative registered before or after the initiators collected the signatures required. (If a small number of signatures is need before the registration, but most signatures are collected after the registration, then the question should be coded as ""before"")"
18,Is formal admissibility decided in a special procedure?,"Whether the procedure for registration/admission has special rules such as shortened deadlines, restricted participation rights etc. that otherwise do not characterise the decision-making of the state organ concerned? Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure."
19,Do participants have a right to be heard in the formal admissibility procedure?,"Whether the initiators or other interested parties can appear before the state organ and state their arguments. Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure."
20,Is there an evidentary procedure in the formal admissibility procedure?,"Whether the decision-making body is allowed to gather evidence other than written submissions (e.g. invite parties to testify or order expert opinions). Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure."
21,Are the legal consequences of the admissibility procedures binding?,"After the state organ assessed the question against the formal limits, does it have the authority to stop the referendum or does it only publish a non-binding opinion"
22,Is invalidity the legal consequence of inadmissibility?,"At the end of the formal admissibility procedure, does the state organ invalidate (i.e. annul) the initiative or does it have other powers (e.g. rewriting the question or sending it back for reconsideration)"
23,Is there a substantive admissibility check?,"Is there a state institution checking whether the initiative complies with the limits imposed on the initiative. Such a substantive admission decision could entail checking that the initiative is not on a prohibted topic, complies with the constitution, or also checking formal limits such as clarity of question, unity of form"
24,Who decides about the substantive admissibility?,Which state institution checks whether the initiative complies with the substantive limits?
25,Is there a legal remedy against the decision on substantive admissibility?,"Appeal to a higher administrative, judicial or state organ"
26,Who decides about the claim for remedy in the substantive admissibility procedure?,Which state institution carries out the appeal procedure
27,Who can initiate the remedy procedure? (state actor - initiator - anyone),"Who has the right to appeal against the substantive admissibility decision (e.g. only initiators, any citizens, certain state actors etc.)"
28,Does the substantive admissibility procedure take place before the signature collection?,"Is the substantive admissibility decided before or after the initiators collected the signatures required. (If a small number of signatures is need before the registration, but most signatures are collected after the registration, then the question should be coded as ""before"")"
29,Is substantive admissibility decided in a special procedure?,"Whether the procedure for checking the substantive admissibility has special rules such as shortened deadlines, restricted participation rights etc. that otherwise do not characterise the decision-making of the respective state organ. Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure."
30,Do participants have a right to be heard in the substantive admissibility procedure?,"Whether the initiators or other interested parties can appear before the state organ and state their arguments. Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure."
31,Is there an evidentary procedure in the substantive admissibility procedure?,"Whether the decision-making body is allowed to gather evidence other than written submissions (e.g. invite parties to testify or order expert opinions). Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure."
32,Are the legal consequences of the admissibility procedures binding?,"After the state organ assessed the question against the substantive limits, does it have the authority to stop the referendum or does it only publish a non-binding opinion"
33,Is invalidity the legal consequence of inadmissibility?,"At the end of the substantive admissibility procedure, does the state organ invalidate (i.e. annul) the initiative or does it have other powers (e.g. rewriting the question or sending it back for reconsideration)"
34,Does the proposal have to be submitted as a (draft) legal text?,Do the initiators have to create a draft of the proposed provision or legal act or is it enough to propose a question?
35,Are there any formal limits on the wording of the referendum proposal?,"Whether there are legal restrictions on how the initiative question or issue has to be formulated (e.g. it has to be clear, it has to be a single question, etc.)"
36,Is there a clarity of the question requirement?,"Whether there is a legal provision that the initiative question or issue has to be formulated precisely, in a clear, non-misleading manner"
37,Is there a unity of form requirement?,Whether there is a legal provision that the initiative question or issue shall not combine a general and a specifically-worded proposal
38,Is there a unity of substance requirement?,Whether there is a legal provision that the different parts of initiative question or issue shall have an internal connection
39,"Are there any other formal limits? If so, describe.",Whether there are any other requirements about the formulation of the initiative question or issue
40,(if rejective) Are certain types of legal acts excluded from being the subject of it?,"Whether a referendum could be held on any legal act (including the constitution, legislative acts, administrative decrees, other measure having the force of law) or is it limited to certain types"
41,(if rejective) Are constitutional amendments excluded from being the subject of it?,Whether a referendum could only be held about legal acts that are below the constitution in the hierarchy of norms
